	ncore	nthread	stime
0	1	1	1072.7748658657074
1	1	2	915.7617871761322
2	1	3	862.119532585144
3	1	4	796.2006437778473
4	1	5	794.3755238056183
5	1	6	659.426117181778
6	1	7	635.8275401592255
7	1	8	628.222329378128
8	1	9	617.6984865665436
9	1	10	602.1339364051819
10	1	11	674.720680475235
11	1	12	714.0663833618164
12	1	13	727.1371839046478
13	1	14	630.8699893951416
14	1	15	614.6690583229065
15	1	16	658.7730193138123
16	1	17	711.8184881210327
17	1	18	719.9397969245911
18	1	19	653.3486893177032
19	1	20	611.4254329204559
20	1	21	616.4986114501953
21	1	22	617.9322471618652
22	1	23	606.6402065753937
23	1	24	604.2276499271393
24	1	25	613.9708938598633
25	1	26	603.9225182533264
26	1	27	678.9690289497375
27	1	28	712.85675573349
28	1	29	640.4339907169342
29	1	30	606.2896862030029
30	1	31	602.4121088981628
31	1	32	601.4692759513855
32	1	33	592.1749603748322
33	1	34	601.6001009941101
34	1	35	633.0295960903168
35	1	36	628.2462368011475
36	1	37	606.8819122314453
37	1	38	653.2252776622772
38	1	39	694.7762191295624
39	1	40	696.9770209789276
40	1	41	695.3960039615631
41	1	42	695.0453011989594
42	1	43	700.627090215683
43	1	44	678.9269061088562
44	1	45	605.9310002326965
45	1	46	606.0381937026978
46	1	47	600.8528814315796
47	1	48	598.7690687179565
48	1	49	598.1081328392029
49	1	50	619.9538531303406
50	2	1	588.8021624088287
51	2	2	491.67710852622986
52	2	3	407.8083567619324
53	2	4	353.1970925331116
54	2	5	345.02623987197876
55	2	6	341.2216966152191
56	2	7	336.6497769355774
57	2	8	333.6557319164276
58	2	9	329.26036977767944
59	2	10	327.02471113204956
60	2	11	326.8232958316803
61	2	12	320.56956815719604
62	2	13	332.7098035812378
63	2	14	375.61828541755676
64	2	15	386.59139108657837
65	2	16	386.47142577171326
66	2	17	376.41271686553955
67	2	18	382.5735161304474
68	2	19	381.7108585834503
69	2	20	382.88426542282104
70	2	21	378.6941831111908
71	2	22	375.90750670433044
72	2	23	383.2221796512604
73	2	24	376.5775909423828
74	2	25	376.4540503025055
75	3	1	393.95190954208374
76	3	2	332.5853054523468
77	3	3	308.0168535709381
78	3	4	288.6107201576233
79	3	5	283.1825182437897
80	3	6	277.4455726146698
81	3	7	269.19076323509216
82	3	8	265.5357618331909
83	3	9	266.53686237335205
84	3	10	265.74688720703125
85	3	11	263.3659505844116
86	3	12	261.4078667163849
87	3	13	258.58087944984436
88	3	14	258.8779237270355
89	3	15	261.55174016952515
90	3	16	260.85446548461914
91	4	1	279.32930731773376
92	4	2	216.11606526374817
93	4	3	203.23947024345398
94	4	4	194.2942249774933
95	4	5	180.63195371627808
96	4	6	176.92832231521606
97	4	7	175.29351902008057
98	4	8	174.5064582824707
99	4	9	173.96096396446228
100	4	10	172.5801329612732
101	4	11	172.4035198688507
102	4	12	172.00287532806396
103	5	1	200.66592025756836
104	5	2	165.97111415863037
105	5	3	153.59682369232178
106	5	4	147.58480262756348
107	5	5	144.66719245910645
108	5	6	142.16915583610535
109	5	7	141.16295671463013
110	5	8	141.31073594093323
111	5	9	140.20020818710327
112	5	10	139.0546989440918
113	6	1	182.8332555294037
114	6	2	149.48383116722107
115	6	3	138.42797112464905
116	6	4	133.01064324378967
117	6	5	129.88575744628906
118	6	6	127.64373254776001
119	6	7	125.90761208534241
120	6	8	124.81646275520325
121	7	1	149.33847832679749
122	7	2	122.28843545913696
123	7	3	114.16406488418579
124	7	4	109.68523836135864
125	7	5	107.00153183937073
126	7	6	105.41378998756409
127	7	7	104.05649280548096
128	8	1	127.44932007789612
129	8	2	104.67397904396057
130	8	3	97.03021931648254
131	8	4	93.04657435417175
132	8	5	91.05598521232605
133	8	6	89.41604542732239
134	9	1	122.82596516609192
135	9	2	100.92788076400757
136	9	3	93.46489024162292
137	9	4	89.98148369789124
138	9	5	87.83643317222595
139	10	1	104.20777368545532
140	10	2	86.36649823188782
141	10	3	80.11306309700012
142	10	4	76.94401597976685
143	10	5	75.34246706962585
144	11	1	98.07849478721619
145	11	2	81.08099246025085
146	11	3	75.20942783355713
147	11	4	72.38842916488647
148	12	1	95.67402243614197
149	12	2	78.53972005844116
150	12	3	73.01663541793823
151	12	4	70.1533944606781
152	13	1	91.08405232429504
153	13	2	74.16020107269287
154	13	3	68.73311710357666
155	14	1	86.14081025123596
156	14	2	70.87046909332275
157	14	3	82.3471405506134
158	15	1	95.69493556022644
159	15	2	81.0621907711029
160	15	3	74.63126564025879
161	16	1	88.45246934890747
162	16	2	75.22540307044983
163	16	3	69.90277624130249
164	17	1	74.39455318450928
165	17	2	55.77074599266052
166	18	1	63.85456967353821
167	18	2	54.66923952102661
168	19	1	61.33043193817139
169	19	2	50.15955090522766
170	20	1	57.88111329078674
171	20	2	47.67030048370361
172	21	1	55.50332808494568
173	21	2	45.74545335769653
174	22	1	52.09155488014221
175	22	2	43.61584520339966
176	23	1	49.37007403373718
177	23	2	41.14645862579346
178	24	1	48.84875178337097
179	24	2	40.88739538192749
180	25	1	47.44244647026062
181	25	2	39.19643211364746
182	26	1	46.52561831474304
183	27	1	45.70656681060791
184	28	1	44.35144352912903
185	29	1	43.63795518875122
186	30	1	40.771185874938965
187	31	1	37.30753254890442
188	32	1	36.84874606132507
189	33	1	36.17754864692688
190	34	1	35.95599174499512
191	35	1	35.66508173942566
192	36	1	34.89972805976868
193	37	1	34.66329002380371
194	38	1	34.18939471244812
195	39	1	33.97364258766174
196	40	1	34.255990743637085
197	41	1	34.35748505592346
198	42	1	34.162028074264526
199	43	1	34.025214195251465
200	44	1	34.62503504753113
201	45	1	34.484736919403076
202	46	1	34.120360374450684
203	47	1	34.600740909576416
204	48	1	34.92649817466736
205	49	1	34.98972272872925
206	50	1	34.290266036987305
